species,inchi,smiles,mult,ANL1,ANL0,Ladder,Best
! These are all in kcal/mol.
CH2CHCH2OH,"InChI=1S/C3H6O/c1-2-3-4/h2,4H,1,3H2","C=CCO",1,0,-25.75765397,-25.78087308,-25.78087308
c-CH2CH2CH(OH),"InChI=1S/C3H6O/c4-3-1-2-3/h3-4H,1-2H2","OC1CC1",1,0,-19.62445021,-19.68535319,-19.68535319
c-CH(CH3)CH2Oa,"InChI=1S/C3H6O/c1-3-2-4-3/h3H,2H2,1H3/t3-/m0/s1","C[C@@H]1CO1",1,0,-17.93853679,-17.9483862,-17.9483862
c-CH(CH3)CH2Ob,"InChI=1S/C3H6O/c1-3-2-4-3/h3H,2H2,1H3/t3-/m1/s1","C[C@@H]1CO1",1,0,-17.93853679,-17.9483862,-17.9483862
c-CH2CH2CH2O,"InChI=1S/C3H6O/c1-2-4-3-1/h1-3H2","C1COC1",1,0,-14.34722371,-14.35707312,-14.35707312
CH3C(OH)CH3,"InChI=1S/C3H7O/c1-3(2)4/h4H,1-2H3","C[C](C)O",2,0,-18.71386961,-18.87158828,-18.87158828
CH3CH2CHOH,"InChI=1S/C3H7O/c1-2-3-4/h3-4H,2H2,1H3","CC[CH]O",2,0,-13.33198579,-13.4727995,-13.4727995
CH3CH(OH)CH2a,"InChI=1S/C3H7O/c1-3(2)4/h3-4H,1H2,2H3/t3-/m1/s1","[CH2][C@H](C)O",2,0,-10.33188448,-10.42057688,-10.42057688
CH3CH(OH)CH2b,"InChI=1S/C3H7O/c1-3(2)4/h3-4H,1H2,2H3/t3-/m0/s1","[CH2][C@H](C)O",2,0,-10.33188448,-10.42057688,-10.42057688
CH3CHCH2OH,"InChI=1S/C3H7O/c1-2-3-4/h2,4H,3H2,1H3","C[CH]CO",2,0,-9.433427069,-9.53902443,-9.53902443
CH2CH2CH2OH,"InChI=1S/C3H7O/c1-2-3-4/h4H,1-3H2","[CH2]CCO",2,0,-7.395878738,-7.484571135,-7.484571135
CH3CH(O)CH3,"InChI=1S/C3H7O/c1-3(2)4/h3H,1-2H3","CC(C)[O]",2,0,-6.058373397,-6.484681273,-6.484681273
CH3CHOCH3,"InChI=1S/C3H7O/c1-3-4-2/h3H,1-2H3","C[CH]OC",2,0,-4.630395871,-4.720155999,-4.720155999
CH3CH2OCH2,"InChI=1S/C3H7O/c1-3-4-2/h2-3H2,1H3","[CH2]OCC",2,0,-2.919203372,-2.992058536,-2.992058536
CH3CH2CH2O,"InChI=1S/C3H7O/c1-2-3-4/h2-3H2,1H3","CCC[O]",2,0,-2.783657558,-3.209965433,-3.209965433
CH2CH2OCH3,"InChI=1S/C3H7O/c1-3-4-2/h1,3H2,2H3","[CH2]COC",2,0,3.381958796,3.344319978,3.344319978
CH3CH2CH2OH,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3","CCCO",1,0,-55.09804581,-55.13095966,-55.13095966
CH3CH2OCH3,"InChI=1S/C3H8O/c1-3-4-2/h3H2,1-2H3","CCOC",1,0,-46.42269037,-46.40455063,-46.40455063
CHCCCO,"InChI=1S/C4HO/c1-2-3-4-5/h1H","C#CC#C[O]",2,0,91.05456515,90.75136047,90.75136047
CCCCOH,"InChI=1S/C4HO/c1-2-3-4-5/h5H","[C]#CC#CO",2,0,153.2850335,153.4132633,153.4132633
OCCHCCH,"InChI=1S/C4H2O/c1-2-3-4-5/h1,3H","C#CC=C=O",2,0,49.60030805,49.58856786,49.58856786
CH2CCCO,"InChI=1S/C4H2O/c1-2-3-4-5/h1H2","C=C=C=C=O",1,0,53.83895438,53.77105748,53.77105748
CHCCCOH,"InChI=1S/C4H2O/c1-2-3-4-5/h1,5H","C#CC#CO",1,0,77.2527002,77.34288955,77.34288955
c-CHCHCHCHO,"InChI=1S/C4H4O/c1-2-4-5-3-1/h1-4H","c1ccoc1",1,0,0,-0.018449082,-0.018449082
O2,"InChI=1S/O2/c1-2","O=O",3,-0.129150501,-0.107734359,-0.129150501,-0.129150501
HO2,"InChI=1S/HO2/c1-2/h1H","[O]O",2,3.453406709,3.562758912,3.453406709,3.453406709
OCOH,"InChI=1S/CHO2/c2-1-3/h(H,2,3)","O=[C]O",2,-43.35590439,-43.40275713,-43.3859825,-43.35590439
OCHO,"InChI=1S/CHO2/c2-1-3/h1H","[O]C=O",2,-30.76996754,-30.95424827,-31.33759153,-30.76996754
OCHOH,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)","O=CO",1,0,-88.6907893,-88.68073853,-88.68073853
c-CH2OO,"InChI=1S/CH2O2/c1-2-3-1/h1H2","C1OO1",1,0,2.11084258,2.205553902,2.205553902
